"rid","binaryID"
3292,"10101001111100011111000"
3567,"1010100111110001101"
3790,"1010100111110001100"
3846,"101010011111000110"
4110,"101010011111000111110010"
4376,"10101001101"
4547,"1010100111110001110"
5958,"10101001111100000"
6214,"10101001111101101011001010001"
6423,"1010100111110110111"
6861,"10101001100"
7062,"1010100111110110101111"
7186,"10101001111110"
7204,"1010100111110110110"
7216,"101010011111000111110011"
7261,"101010011111010"
7325,"101010011111011011"
7393,"10101001111111"
7479,"10101001111100011111011"
7494,"101010011111000111101"
7742,"10101001111100001"
7743,"1010100111110000"
7755,"10101001111101101011001010000"
7773,"10101001111100011111001"
7959,"10101001111101101011001011"
8043,"1010100111110110101100101000"
8488,"1010100111111"
8510,"1010100111110001111100"
8620,"10101001111100011111010"
8669,"1010100111110001111101"
8731,"10101001110"
8787,"1010100111110110101100101001"
8906,"101010011111000111110"
8992,"101010011111000111111"
9123,"101010011111011010110010101"
9216,"101010011111011010110010100"
9351,"101010011111000111100"
9573,"10101001111100011111"
9640,"10101001111100011110"
9688,"10101001111101101011001010"
9805,"1010100111110001111"
10258,"101010011111000111"
10415,"1010100111110110101100100"
10436,"10101001111100011"
10583,"1010100111110110101110"
10650,"101010011111011010111"
10716,"1010100111110110101100101"
10725,"10101001111101101010"
10936,"101010011111011010110010"
11131,"101010010"
11261,"1010100111110110100"
11547,"10101001111101100"
11632,"101010011111011010110011"
11725,"10101001111100010"
11726,"1010100111110001"
11900,"10101001111101101011000"
12148,"10101001111101101011001"
12267,"1010100110"
12301,"1010100111110110101100"
12397,"1010100111110110101101"
12411,"101010011111011010110"
12540,"10101001111101101011"
12552,"1010100111110110101"
12555,"101010011111011010"
12596,"10101001111101101"
12708,"1010100111110111"
12721,"1010100111110110"
12722,"101010011111011"
13104,"10101001111101"
13339,"101010011111000"
13510,"101010011111001"
13561,"10101001111100"
13652,"1010100111110"
14423,"101010011111"
14871,"101010011110"
14874,"10101001111"
14936,"100"
15054,"1010100111"
15437,"101010011"
15710,"10101001"
15723,"10101000"
15768,"1010100"
15838,"101011"
15848,"1010101"
15902,"101010"
15932,"10101"
15934,"10100"
15935,"1010"
16006,"1011"
16008,"101"
16099,"10"
16172,"11"
16182,"1"
