"rid","binaryID"
3988,"1110101101011000"
5684,"1110010"
5754,"1110011"
9930,"1111"
10932,"111010111"
12461,"11101011001"
12625,"1110101101011001"
12758,"1110101101011011"
12904,"111001"
13871,"111010101"
16710,"111010100"
17724,"1110101101011010"
17766,"11101011000"
18929,"111010110101101"
19171,"111000"
22585,"111010110101100"
23003,"1110101101001"
26133,"1110101100"
26934,"11101011010110"
31524,"1110110"
33440,"1110101101000"
34077,"110"
34779,"11101011011"
36306,"111010110101111"
36364,"1110101101010"
36568,"11101010"
36653,"111010110101110"
36656,"11101011010111"
36657,"1110101101011"
36702,"111010110101"
36704,"111010110100"
36743,"11100"
37261,"11101011010"
37512,"1110101101"
37624,"1110100"
37692,"111010110"
38133,"11101011"
38140,"1110111"
38326,"1110101"
38587,"111010"
38814,"111011"
39530,"11101"
40393,"10"
40483,"1110"
40534,"111"
40670,"11"
41061,"1"
