"rid","binaryID"
2303,"1010111101001000"
2564,"10100"
2888,"10101111010011"
3212,"101011110101"
3626,"1100"
3740,"101011110100101"
3775,"1101"
4398,"1010111101001001"
4564,"1010111101000"
4601,"101010"
4909,"101011110100100"
5425,"110"
8424,"10101111010010"
9866,"111"
10170,"101011111"
10174,"1010111101001"
10760,"101011110100"
11143,"11"
11461,"10101111011"
12009,"10101111010"
12062,"1010111101"
12349,"1010111100"
12351,"101011110"
12600,"10101111"
12617,"100"
13027,"10101110"
13320,"1010111"
13438,"1010110"
13445,"101011"
13635,"10101"
13651,"1010"
14612,"1011"
14677,"101"
18197,"10"
19519,"1"
