"rid","binaryID"
1184,"10110101111111011"
2146,"10111110100110000011011"
2172,"101111101001100010"
2482,"101101011111111011"
2691,"101111101001100000101"
2873,"10110101111101010"
2957,"1011111010011000001110110"
3662,"10111110100110000110"
3788,"10111110100110000011010"
4085,"101111101001100000111010"
4146,"101101010111"
4150,"1011010111110100"
4276,"10111110100110000011101110"
4342,"10111110100110000011101111"
4346,"1011010111101000"
4475,"10110101111101011"
4573,"1011010111111110000"
4887,"10110101010"
4929,"1011111010011000001111"
5148,"101111101001100000100"
5275,"10111110100110000111"
5405,"1011010111111110001"
5423,"101101011111111000"
5535,"101101011111011"
5617,"101111100010"
5935,"101111100011"
6169,"101101010110"
6490,"1011010111110101"
6596,"10110101011"
7645,"1011111010011000001100"
7647,"1011111010011000011"
7690,"101101011110011"
9026,"10111110000"
9104,"10111110100110000010"
9129,"10110101111011"
9279,"1011111010011000001101"
9433,"101101011111111001"
9851,"10110101111000"
10117,"1011010110"
10964,"101101011111111010"
10997,"101101011110101"
11020,"10110101111111101"
11195,"10110101111110"
11700,"10110101111111100"
11795,"1011111010011000001110111"
12155,"1011010111111111"
13349,"1011111010011000010"
13763,"1011010111101001"
14822,"1011011"
15335,"101101011111010"
15585,"101101011110100"
15750,"10110101111111010"
17286,"1011010111111110"
17649,"10110101111101"
19351,"10110101111100"
19515,"1011010111110"
19721,"101111101001100000110"
19732,"101101011110010"
19905,"10110101111001"
20127,"101101011111111"
25466,"101111101001100000111011"
29624,"101111101001100011"
30162,"10111110100110000011100"
30361,"10111110100110000011101"
30709,"1011010100"
31191,"10110101111010"
32951,"1011010111101"
33094,"1011111010011000000"
36191,"1011111010011000001110"
36677,"1011010111111101"
36934,"101111101001100001"
38124,"1011010111100"
38819,"10111110001"
39737,"1011111000"
40505,"1011010111111100"
40543,"101101011111110"
40698,"101101011110"
40875,"101111101001100000111"
40904,"1011010101"
41069,"10111110100110001"
41141,"101101010"
41214,"10111110100110000011"
41383,"1011111010000"
41387,"1011111011"
41549,"10110101110"
41608,"1011111010011000001"
41682,"10110101111111"
41712,"101111101001100000"
41720,"1011010111111"
41745,"10111110100110000"
41794,"101101011111"
41800,"10110101111"
41834,"1011111010011000"
41837,"1011111010011111"
41841,"10110100"
41852,"1011111010011001"
41859,"1011010111"
41865,"101101011"
41876,"10110101"
41877,"101111101001111010"
41881,"101111101001111011"
41883,"10111110100111101"
41884,"10111110100111100"
41887,"101111101001100"
41888,"1011111010011110"
41898,"1011010"
41914,"101101"
41919,"1011111010001"
41920,"101111101001101"
41922,"10111110100110"
41924,"101111101000"
41926,"101111101001111"
41932,"101111101001110"
41933,"10111110100111"
41940,"1011111010011"
41941,"1011111010010"
41944,"101111101001"
41950,"10111110101"
41954,"1011111001"
41955,"101111100"
41960,"10111110100"
41964,"1011111010"
41968,"101111101"
41984,"10111110"
41985,"101100"
41987,"10110"
41996,"101111111"
41998,"101111110"
42000,"10111111"
42003,"101110"
42007,"1011110"
42010,"1011111"
42011,"101111"
42012,"10111"
42017,"1010"
42023,"1011"
42024,"101"
42026,"100"
42027,"10"
42028,"11"
42029,"1"
