"rid","binaryID"
100,"1110110001111111100100001101100101110110011010101010100111010011011000011100010010101010011111100111111111001111111001011011010001110000000111100011011110001001111101110001001001011101111111111001101110011110001"
110,"11101100011111111001000011011001011101100110101010101001110100110110000111000100101010100111111001111111110011111110010110110100011100000001111000110111100010011111011100010010010111011111111110011011100111100001"
221,"1110110001111111100100001101100101110110011010101010100111010011011000011100010010101010011111100111111111001111111001011011010011011111001110110111001001100110011001001001101101010001111001111111010101001101010110101111001010100111011110111001111011100000000110011101110111011111101111111010101000001101110001101101000110100001001111111111110101110001100101001100011010100000101010101010010"
290,"1110110001111111100100001101100101110110011010101010100111010011011000011100010010101010011111100111111111001111111001011011010011011111001110110111001001100110011001001001101101010001111001111111010101001101010110101111001010100111011110111001111011100000000110011101110111011111101111111010101000001101110001101101000110100001001111111111110101110010111110100111110111011110011110100001100"
299,"1110110001111111100100001101100101110110011010101010100111010011011000011100010010101010011111100111111111001111111001011011010001110000011111111111001111"
314,"111011000111111110010000110110010111011001101010101010011101001101100001110001001010101001111110011111111100111111100101101101000111000001111111111100110"
319,"11101100011111111001000011011001011101100110101011010111100110100000101"
336,"11101100011111111001000011011001011101100110101010101001110100110110000111000100101010100111111001111111110011111110010110110100110111110011101101110010011001100110010010011011010100010000100"
341,"1110110001111111111110111110"
350,"111011000111111110010000110110010111011001101010101010011101001101100001110001001010101001111110011111111100111111100101101101000111000000011110001101111000100111110111010011101101"
375,"11101100011111111001000011011001011101100110101010101001110100110110000111000100101010100111111001111111110011111110010110110100110111110011101101110010011001100110010010011011010100011110011111110101010011010101101011110010101001110111101110011110111000000001100111011101110111111011111110101010000011011100011011010001101000010011111111111101011100011000001"
376,"111011000111111110010000110110010111011001101010101010011101001101100001110001001010101001111110011111111100111111100101101101001101111100111011011100100110011001100100100110110101000111100111111101010100110101011010111100101010011101111011100111101110000000011001110111011101111110111111101010100000110111000110110100011010000100111111111111010111001011111010011111011101111001111010000110110"
400,"1110110001111111100100001101100101110110011010101010100011000110"
415,"11101100011111111001000011011001011101100110101011010111100110100000100"
496,"1110110001111111100100001101100101110110011010101010100111010011011000011100010010101010011111100111111111001111111001011011010011011111001110110111001001100110011001001001101101010001111001111111010101001101010110101111001010100111011110111001111011100000000110011101110111011111101111111010101000001101110001101101000110100001001111111111110101110001101010000101000001101100"
508,"1110110001111111100100001101100101110110011010101010100111010011011000011100010010101010011111100111111111001111111001011011010011011111001110110111001001100110011001001001101101010001111001111111010101001101010110101111001010100111011110111001111011100000000110011101110111011111101111111010101000001101110001101101000110100001001111111111110101110010111110100111110111011101101"
517,"111011000111111110010000110110010111011001101010101010011101001101100001110001001010101001111110011111111100111111100101101101001101111100111011011100100110011001100100100110110101000111100111111101010100110101011010111100101010011101111011100111101110000000011001110111011101111110111111101010100000110111000110110100011000101001010101100100111010110000100111"
521,"1110110001111111100100001101100101110110011010101010100111010011011000011100010010101010011111100111111111001111111001011011010011011111001110110111001001100110011001001001101101010001111001111111010101001101010110101111001010100010111"
522,"111011000111111110010000110110010111011001101010101010011101001101100001110001001010101001111110011111111100111111100101101101000111000000011110001101111000100111110111000100100101110111111111100110101"
535,"1110110001111111100100001101100101110110011010101010100111010011011000011100010010101010011111100111111111001111111001011011010001110000000111100011011110001001111101110100111010010010"
546,"11101100011111111001000011011001111111100"
559,"11101100011111111001000011011001011101100110101010101001110100110110000111000100101010100111111001111111110011111110010110110100110111110011101101110010011001100110010010011011010100010000101"
563,"1110110001111111100100001101100101110110011010101010100111010011011000011100010010101010011111100111111111001111111001011011010011011111001110110111001001100110011001001001101101010001111001111111010101001101010110101111001010100111011110111001111011100000000110011101110111011111101111111010101000001101110001101101000110100001001111111111110101110010111110100111110111011101010001010"
