"rid","binaryID"
1599,"111000101010010001111100000100010111101010110100000"
1807,"111000101010010001111100000100011000"
2008,"111000101010010001111100000100010111101010100011110"
2057,"1110001010100100011111000001000110010"
2360,"111000101010010001111100000100010111101000101001011011"
2402,"11100010101001000111110000010001100110"
2643,"1110001010100100011111000001000101111010101000110"
2787,"11100010101001000111110000010000010001000"
3101,"111000101001"
3139,"1110001010100100001"
3329,"111000101010010001111100000100010110"
3421,"1110001010100100011111000001000001000101"
3502,"1110001010100100011111000001000101111010101101001"
3984,"1110001010100100011111000001000101111010101101000011"
4067,"11100010101001000111110000010000011"
4348,"1110001010100100011111000001000000"
4374,"111000101010010001111100000100010111101010110100010111"
4392,"1110001010100100000"
4467,"1110001010100100011111000001000101111010001011"
5384,"111000101010010001111100000100000100011"
5673,"111000101010010001111100000100010111101010100010"
6032,"111000101010010001111100000100000100000"
6118,"111000101010010001111100000100010111101010100011111"
6373,"11100010101001000111110000010001011110100010100100"
6486,"1110001010100100011111000001000001001"
7248,"1110001010100100011111000001000001010"
7718,"111000101010010001111100000100000100001"
8269,"11100010101001000111110000010001011110100010101"
9040,"111000101010010001111100000100000100010010"
9193,"1110001010100100011111000001000001011"
9286,"111000101010010001111100000100000101"
9590,"111000101010010001111100000100010111101010101"
10387,"11100010101001000111110000010001011110100010100101110"
10424,"111000101010010001111100000100000100010011"
10425,"11100010101001000111110000010000010001001"
10633,"1110001010100100011111000001000001000100"
10634,"111000101010010001111100000100000100010"
10759,"111000101010010001111100000100010111101010110101"
10855,"11100010101001000111110000010001011110100010100101111"
11867,"11100010101001000111110000010000010000"
13878,"1110001010100100011111000001000101111010101101000010"
14201,"11100010101001000111110000010001011110101010001111"
14852,"111000101010010001111100000100010111101000101001011010"
14853,"11100010101001000111110000010001011110100010100101101"
15755,"111000101010010001111100000100010111101000101000"
15876,"1110001010000"
15978,"1110001010001"
16346,"11100010101001000111110000010001011110101010001110"
16411,"1110001010100100011111000001000101111010101000111"
17574,"1110001010100100011111000001000101111010001010010111"
17634,"111000101000"
17985,"111000101010010001111100000100010111101000101001010"
18101,"11100010101001000111110000010001011110100010100101100"
18363,"111000101010010001111100000100010111101000101001011"
18931,"11100010101001000111110000010000010001"
20451,"1110001010100100011111000001000101111010001010011"
20465,"111000101010010001111100000101"
24191,"11100010101001000111110000010001011110100010100101"
24558,"11100010101001000111110000010001011110101011010001010"
24852,"1110001010100100011111000001000101111010001010010"
26980,"1110001010100100011111000001000001000"
28457,"111000101010010001111100000100010111101000101001"
28516,"11100010101001000111110000010001011110100010100"
28875,"111000101010010001111100000100010111101010100011"
28970,"111000101010010001111100000100010111101010110100001"
29382,"111000101010010001111100000100001"
29537,"1110001010100100011111000001000101111010001010"
30145,"111000101010010001111100000100000100"
30866,"11100010101001000111110000010001100111"
30881,"1110001010100100011111000001000110011"
31108,"11100010101001000111110000010001011110101010000"
31246,"11100010101001000111110000010000010"
33466,"111000101010010001111100000100010111101000101"
34932,"111000101010010000"
37196,"11100010101001000111110000010001011110101010001"
37459,"111000101010010001111100000100011001"
37715,"1110001010100100011111000001000101111010101000"
37748,"1110001010100100011111000001001"
39542,"11100010100"
39618,"1110001010100100011111000001000001"
39656,"111000101010010001111100000100000"
39871,"11100010101001000111110000010001011110101011010000"
40922,"11100010101001000111110000010001011110101011011"
41244,"111000101010010001111100000100010111101000111"
41470,"1110001010100100011111000001000101111010101001"
41527,"11100010101001000111110000010000"
41581,"111000101010010001111100000100010111101010110100011"
41622,"1110001010100100011111000001000101111010101101000100"
41633,"111000101010010001111100000100010111101010100"
41638,"11100010101001000111110000010001011110101010"
41639,"111000101010010001111100000100010111101010110100010110"
41640,"11100010101001000111110000010001011110101011010001011"
41641,"1110001010100100011111000001000101111010101101000101"
41642,"111000101010010001111100000100010111101010110100010"
41648,"11100010101001000111110000010001011110101011010001"
41654,"1110001010100100011111000001000101111010101101000"
41655,"11100010101001000111110000010001100"
41672,"1110001010100100011111000001000101111010001000"
41681,"1110001010100100011111000001000101111010001001"
41685,"111000101010010001111100000100010111101000100"
41687,"111000101010010001111100000100010111101010110100"
41693,"11100010101001000111110000010001011110101011010"
41696,"1110001010100100011111000001000101111010101101"
41697,"1110001010100100011111000001000101111010101100"
41702,"111000101010010001111100000100010111101010110"
41704,"111000101010010001111100000100010111101010111"
41710,"11100010101001000111110000010001011101"
41711,"11100010101001000111110000010001011110101011"
41721,"11100010101001000111110000010001011110100010"
41735,"1110001010100100011111000001000101111010000"
41747,"1110001010100100011111000001000101111010100"
41750,"111000101010010001111100000100010111101000110"
41751,"11100010101001000111110000010001011110100011"
41752,"1110001010100100011111000001000101111010101"
41754,"1110001010100100011111000001000101111010001"
41755,"111000101010010001111100000100010111101010"
41757,"111000101010010001111100000100010111101000"
41761,"111000101010010001111100000100010111101011"
41764,"11100010101001000111110000010001011110101"
41765,"111000101010010001111100000100010111101001"
41768,"11100010101001000111110000010001011110100"
41769,"1110001010100100011111000001000101111010"
41770,"11100010101001000111110000010001011100"
41771,"1110001010100100011111000001000101110"
41772,"1110001010100100011110"
41775,"11100010101001000111110000010001101"
41776,"1110001010100100011111000001000101111011"
41777,"111000101010010001111100000100010111100"
41778,"111000101010010001111100000100010111101"
41779,"11100010101001000111110000010001011110"
41781,"1110001010100100011111000001000110"
