"rid","binaryID"
11414,"10011100000001011111110"
11727,"1001110000000101111011"
12115,"1001110000000101110"
12265,"1001110000000100"
12511,"1001110000000101111010"
12589,"100111001"
12927,"10011101110"
13072,"100111000000011"
13156,"100111000000010111101"
13221,"100111000000010111100"
13703,"100111000000000"
13833,"10011101111"
13840,"10011100000001011111111001"
13850,"10011100000001011111111000"
13885,"1001110000000101111111100"
14085,"10011100000001011110"
14135,"100111000000001"
14590,"1001110000000101111111110"
15780,"1001110111"
15890,"1001110110"
16039,"100111011"
16102,"10011100011"
16204,"1001110000000101111111111"
16205,"100111000000010111111111"
16206,"1001110000000101111111101"
16207,"100111000000010111111110"
16208,"10011100000001011111111"
16878,"100110"
17167,"1001110000000101111111"
17575,"10010"
17930,"1001110000000101111110"
17931,"100111000000010111111"
17932,"100111000000010111110"
17933,"10011100000001011111"
17934,"1001110000000101111"
17935,"100111000000010111"
17936,"100111000000010110"
17937,"10011100000001010"
17938,"10011100000001011"
17939,"1001110000000101"
17940,"100111000000010"
17941,"10011100000001"
17942,"10011100000000"
17943,"1001110000000"
17944,"10011100000011"
17945,"10011100000010"
17946,"1001110000001"
17947,"100111000000"
17961,"100111000001"
17965,"10011100001"
17966,"10011100000"
17984,"10011100010"
17986,"1001110000"
17987,"1001110001"
17988,"100111000"
18022,"10011100"
18037,"10001"
18769,"101"
19051,"10000"
19343,"100111010"
19344,"10011101"
19496,"1001110"
19547,"1001111"
19649,"100111"
19941,"10011"
20015,"1001"
20076,"1000"
20087,"100"
20306,"10"
23005,"11"
23006,"1"
