"rid","binaryID"
1269,"111101111101001111111110001000011111"
2408,"1111011111010011111111100010000110"
2622,"111101111101001111111110001000011110"
3593,"11110111110100111000"
3900,"1111011111010011111110011000"
4095,"11110111110100111001"
4163,"111101111101001111111000"
4403,"1111011111010011100"
4534,"11110111110100111111111000100001111"
5184,"111101110"
5460,"111101111101001111111110001010"
5517,"111101111101001111111110001011"
5598,"111101111111"
5772,"1111011111010011111100"
6248,"11110111110100111111111000101"
6283,"111101111101000"
6458,"111101111110"
7065,"11110111110100110"
7591,"1111011111010010"
7824,"11110111110100111111110"
7986,"111101111101001111111110001000000"
8571,"11110111110100111111111000100001110"
9246,"1111011111010011111110011001"
9319,"111101111101001111111001100"
9876,"1111011111010011111111100010000111"
9929,"11110111111"
10159,"111101111100"
10428,"1111011111010011111110010"
10609,"111101111101001111111110001001"
10684,"111101111101001111111110001000001"
11039,"11110001"
11196,"111101111101001111111110001000011"
11432,"111101111101001111111001101"
11495,"11110111110100111111100110"
11504,"11110111110100111111111000100000"
11812,"11110111110100111111100111"
11905,"1111011111010011111110011"
11927,"111101111101001111111110001000010"
11943,"11110111110100111111111000100001"
11944,"1111011111010011111111100010000"
12219,"11110111110100111111111000100010"
12243,"11110111110100111111111000100011"
12263,"1111011111010011111111100010001"
12302,"111101111101001111111110001000"
12752,"11110111110100111111111000100"
12753,"1111011111010011111111100010"
12772,"1111011111010011111111100011"
12773,"111101111101001111111110001"
12976,"111101111101001111111110000"
12993,"11110111110100111111111000"
13200,"111101111101001111111001"
13463,"1111011111010011111101"
13528,"11110000"
13735,"111101111101001111110"
14480,"11110111110100111111100"
14991,"1111001"
15005,"1111000"
16197,"1111011110"
16421,"11110111110100111110"
17509,"111100"
18095,"111101111101001111111111"
18261,"11110111110100111111101"
19068,"1111011111010011111110"
19224,"1111011111010011110"
19340,"11110111110100111111111001"
19341,"1111011111010011111111100"
19513,"1111011111010011101"
19635,"1111011111010011111111101"
19687,"111101111101001111111110"
19928,"11110111110100111111111"
20100,"11110111110101"
20316,"1111011111011"
20374,"1111011111010011111111"
20602,"111101111101001111111"
21971,"11110111110100111111"
22108,"1111011111010011111"
22112,"111101111101001111"
22113,"111101111101001110"
22114,"11110111110100111"
22115,"1111011111010011"
22116,"111101111101001"
22117,"11110111110100"
22118,"1111011111010"
22119,"111101111101"
22120,"11110111110"
22121,"1111011111"
22122,"111101111"
22123,"11110111"
22124,"11110110"
22125,"1111010"
22126,"111101"
22127,"11110"
22128,"11111"
22129,"1111"
22130,"1110"
22131,"111"
22134,"110"
22135,"10"
22136,"1"
42219,"1111011"
42220,"11"
