"rid","binaryID"
890,"1011110"
981,"10111110"
1125,"10111111"
1219,"1011001111"
1321,"1011001110"
1379,"101101110100"
1544,"101100110"
1880,"101101111100011"
1885,"101101111100000"
1916,"101101110101"
2104,"10110111011"
2248,"1011011100"
2309,"101101111100010"
2310,"10110111110001"
2324,"1011111"
2373,"10110010"
2880,"101100111"
3237,"1011011110"
3282,"10110111010"
3427,"1010"
3677,"11"
4311,"101110"
4347,"101111"
4513,"1011011101"
4652,"10110011"
4914,"1011011111001"
4986,"1011011111000010"
5581,"1011011111000011"
5635,"101101111100001"
5850,"1011001"
5922,"10110111110000"
6397,"100"
6770,"1011011111000"
7132,"101101111100"
7269,"1011000"
7450,"101100"
7734,"101101111101"
7768,"10110111110"
8027,"10110110"
8697,"10111"
8817,"101101110"
9024,"10110111111"
10929,"1011011111"
11109,"101101111"
11273,"10110111"
11552,"1011010"
11696,"1011011"
11806,"101101"
11855,"10110"
12653,"1011"
12853,"101"
13910,"10"
16417,"1"
