"rid","binaryID"
5,"10000000011111111111101111111111010111101111111111100100"
7,"100000000111111111111011111111110101111011111111111010110"
19,"10000000011111111111101111111111010111101111110110"
39,"10000000011111111111101111111111010111100"
40,"1000000001111111111110111111111101011110111100010110"
50,"10000000011111111111101111111111010111111010"
56,"100000000111111111111011111111110101111011111111111010100"
57,"100000000111111111111011111111110101111011111111111011"
59,"1000000001111111111110111111111101011110111111111110101011"
64,"100000000111111111111011111111110101111011111111111010111"
75,"10000000011111111111101111111111010111101111110101"
85,"100000000111111111111011111111110101111011110000111"
89,"100000000111111111111011111100"
90,"1000000001111111111110111111111101011110111100010011"
99,"1000000001111111111110111111111101011110111111111110101010"
102,"100000000111111111111011111111110101111011111111111010101"
124,"1000000001111111111110111111111101011110111111111110100"
125,"100000000111111111111011111110110"
130,"100000000111111111111011111110111"
143,"1000000001111111111110111111111101011111111"
156,"1000000001111111111110111111111101011110111111111110011"
162,"10000000011111111111101111111111010111101111001"
163,"1000000001111111111110111111111101011110111100010010"
164,"1000000001111111111110111111111101011110111111111110000"
176,"100000000111111111111011111111110101111011111111111000110"
194,"10000000011111111111101111111111010111101111111111100101"
195,"100000000111111111111011111111110111000101010100100111011101"
196,"10000000011111111111101111111111011100010101010010011101110000"
198,"100000000111111111111011111111110111000101010100101"
239,"1000000001111111111110111111111101011110111111111110010"
246,"100000000111111111111011111111110101111011111111111000111"
249,"10000000011111111111101111111111010111101111111111101011"
254,"100000000111111111111011111111110101111011110001001"
262,"100000000111111111111011111111111110010"
266,"100000000111111111111011111111110111000010"
268,"1000000001111111111110111111110"
273,"100000000111111111111011111111110101111011110001000"
284,"10000000011111111111101111111111010111101111111111100011"
286,"1000000001111111111110111111111101011110111100010111"
301,"10000000011111111111101111111111010111101111111110"
313,"10000000000"
330,"10000000011111111111101111111111011100010101010010011101110001"
373,"10000000011111111101"
387,"1000000001111111111110111111111101110001010101001001110111000"
393,"100000000011"
433,"1000000001111111111110111111111101010"
440,"1000000001111111111110111111111101110001010101001001110111110010"
456,"100000000111111111111011111111110101111011111111111001"
463,"1000000001111111111110111111111101110001010101001001110111110011"
469,"100000000111111111111010"
523,"1000000001111111111110111111100"
544,"1000000001111111111110111111111101110001010101001001110111001"
545,"10000000011111111111101111111111010111101111111111101010"
562,"1000000001111111111110111111111101011110111111111110101"
571,"100000000111111111111011111111110111000101010100100111010"
590,"10000000011111111111101111111111010111101101000"
598,"100000000111111111111011111111110101111011111111111010"
603,"10000000011111111111101111111111010111101111111111100010"
613,"1000000001111111111110111111111101011110111111111110001"
614,"10000000011111111111101111111111010111101101001"
628,"10000000011111111111101111111111011100010101010111010110100"
635,"10000000011111111111101111111111011100010101010110"
646,"100000000111111111111011111111110111000101010100100111011100"
647,"1000000001111111111110111111111101110001010101011101001"
665,"10000000011111111111101111111111111000"
693,"100000000111111111111011111111110101111011111111111000"
712,"100000000111111111111011111111110101111100"
739,"100000000111111111111011111111110111000100"
742,"10000000011111111111101111111111010111101111110100"
748,"100000000111111111111011111111110111000101010100100111011111001"
801,"1000000001111111111110111111111101110001010101001001111"
843,"10000000011111111111101111111111011100010101010010011101110"
868,"10000000011111111111101111111111011100010101010011"
874,"10000000011111111111101111111111011100010101010111010110101"
884,"100000000111111111111011111111110111000101010100100111011111000"
901,"10000000011111111111101111111111011100000"
919,"1000000001111111111110111111111101110001010101011101011011"
961,"100000000111111111111011111111111101"
970,"10000000011111111111101111111111010111101111000100"
1008,"100000000111111111111011111111110101111011110001011"
1012,"10000000011111111111101111111111011101"
1032,"10000000011111111111101111111111011100010101010111010110000101001"
1038,"100000000111111111111011111111110101111011110000110"
