"rid","binaryID"
11,"110011111100001001"
16,"1100111111100111111"
49,"11001101101010010"
82,"1100111111100110"
119,"1100111111000000"
186,"110011111110011110"
192,"1100110110101000"
227,"1100110101"
251,"110011011010101"
297,"1100111111001"
312,"1100111111100111110"
481,"1100111111000011"
509,"101"
552,"11001111110000101"
656,"11001111110000011"
663,"110011111100001000"
694,"11001111111001110"
828,"110011111110011111"
846,"11001111110001"
917,"11001111111001111"
966,"11001111110000010"
967,"1100111111000001"
968,"110011111100000"
982,"11001111111000"
1045,"1100111111100111"
1051,"1100110100"
1062,"110011111110010"
1070,"110011111110011"
1081,"11001111111001"
1083,"100"
1111,"110011000"
1115,"11010"
1151,"1100111111100"
1166,"10"
1174,"11001111110000100"
1178,"1100111111000010"
1179,"110011111100001"
1180,"11001111110000"
1236,"110011111101"
1237,"1100111111000"
1253,"11001101101010011"
1254,"1100110110101001"
1255,"110011011010100"
1256,"11001101101010"
1261,"11001101101011"
1262,"1100110110101"
1263,"1100110110100"
1264,"110011011010"
1306,"110011111111"
1350,"1100110111"
1360,"11001101100"
1362,"110011111100"
1385,"110011011011"
1387,"11001101101"
1413,"110011001"
1464,"110011010"
1528,"11001100"
1532,"1100110110"
1543,"1100111111101"
1554,"110011011"
1556,"11001101"
1559,"110011111110"
1588,"11001111111"
1592,"11001111110"
1653,"1100110"
1660,"1100111111"
1661,"1100111110"
1669,"110011110"
1671,"110011111"
1675,"11001111"
1733,"11011"
1830,"111"
1842,"1101"
1847,"11001110"
1848,"1100111"
1886,"110011"
1918,"110010"
1921,"11001"
1933,"11000"
1934,"1100"
1936,"110"
1966,"11"
1987,"1"
