"rid","binaryID"
2589,"1111111110000"
2705,"1111111110001"
3410,"111111111001"
4179,"101"
4215,"100011"
4796,"111111111010"
5103,"100010100"
5361,"10001011"
5743,"100000"
5810,"1111111110111"
6909,"1111110"
7909,"111110"
8302,"1000100"
9334,"1111111110110"
9464,"100010101"
10104,"10001010"
10337,"1110"
10726,"111111111011"
10859,"11110"
11710,"1000101"
12942,"111111111000"
13205,"100010"
16688,"11111111111"
20720,"100001"
22084,"10001"
23586,"11111111100"
23673,"11111111110"
24220,"11111111101"
29045,"10000"
31954,"1111111111"
32938,"1000"
33443,"110"
33740,"1111111110"
34925,"111111111"
35505,"111111110"
35525,"11111111"
36406,"11111110"
36420,"1111111"
37999,"1001"
38011,"100"
38038,"111111"
38496,"11111"
39597,"1111"
40172,"10"
40189,"111"
40920,"11"
41479,"1"
