"rid","binaryID"
1876,"1010000101100010"
2164,"1010000101101"
2306,"101000010110011"
2341,"10100001011000001"
2474,"10100001011000000"
2517,"10101110001001101001101110"
2541,"101011100111010"
2677,"10101110001001001"
2929,"1001111101111111001111101101010"
2995,"1001111101111111011010"
3024,"10101110001001111"
3047,"101011100010011101"
3078,"101011100010011100"
3107,"10101110001001000"
3161,"1010111000100100"
3286,"10101110011100"
3407,"1010111001110110"
3441,"1010000101111"
3480,"1010000101100101"
3553,"10101110001001101001111"
3563,"10101110001001110"
3703,"1010111001110111"
3823,"101011100111011"
3857,"1010000101100000"
4339,"10101110001001101001110"
4423,"10101110011101"
4542,"10101110001001101001101111"
4552,"100111110111111100101"
4583,"10100001011001000"
4632,"1010000101110"
4814,"1010111000100110100110111"
4875,"1010111000100111"
4876,"1010111001110"
5066,"10100001010"
5208,"10101110110110"
5408,"10101110110111000"
5908,"1010000101100011"
5971,"10011111011111110011111011010110"
6039,"1010000101100001"
6041,"101000010110000"
6239,"10100001011001001"
6240,"1010000101100100"
6241,"101000010110001"
6242,"101000010110010"
6243,"10100001011001"
6244,"10100001011000"
6245,"1010000101100"
6246,"101000010110"
6309,"101011100010011010111"
7018,"101011100010011010110"
7091,"101011100010011010011010"
7095,"10101110001001101001100"
7687,"10101110001001101011"
7752,"1010111000100110100111"
8229,"10101110110111001"
8451,"1010111000100110100110110"
8520,"101011100010011010011011"
8702,"1010111011011100"
9250,"1010000100"
9297,"10101110001001101001101"
9529,"1010111000100110100110"
9673,"100111110111111100100"
9776,"101000011"
9801,"10011111011111110011111011010111"
9858,"1001111101111111001111101101011"
9871,"10011111011111110010"
9914,"101011100010011010011"
10021,"101000010111"
10028,"100111110111111100111110110100"
10116,"100111110111111100111110110101"
10208,"10011111011111110111010"
10260,"1010111000100110100100"
10287,"10011111011111110011111011010"
10748,"10101110110111110"
10783,"100111110111111100111110111"
10827,"10100001011"
10948,"1010000101"
11052,"1010111000100101"
11228,"1001111101111111011011"
11484,"10101110001001101000"
11699,"10011111011111110011111011011"
11801,"1001111101111111001111101101"
11935,"101011101100"
12033,"101000010"
12145,"10011111011111110111011"
12261,"100111110111111101101"
12297,"1010001"
12546,"10011111010"
12635,"1001111101111111011101"
12639,"100111110111111101111"
12744,"1001111101111111001111011"
12751,"1010111011011110"
12823,"1001111101111111011100"
12832,"10101110001001101010"
13001,"100111110111111110"
13017,"101011100010010"
13083,"1010111000100110100101"
13090,"1010111000100110101"
13209,"10101110110111111"
13229,"101011100010011010010"
13281,"10100000"
13662,"10011111011111110011111010"
13686,"100111110111111101100"
13712,"10011111011111110110"
13931,"1010111011011111"
14062,"10101110001001101001"
14100,"1001111101111111001111000"
14107,"10100001"
14144,"1001111101111111001111010"
14145,"100111110111111100111101"
14202,"100111110111111101110"
14325,"10101110010001"
14425,"10101111"
14497,"1001111101111111001111001"
14498,"100111110111111100111100"
14499,"10011111011111110011110"
14537,"10101110010000"
14552,"1010111001000"
14646,"101011100010011011"
14862,"100111110111111111"
14866,"10011111011111111"
15014,"10011111011111110111"
15050,"1001111101111111011"
15051,"1001111101111111010"
15052,"100111110111111101"
15138,"1010111010"
15244,"10101110001001100"
15282,"1010111000100110100"
15283,"101011100010011010"
15284,"10101110001001101"
15285,"1010111000100110"
15360,"1010111001111"
15453,"1001111101111111001111101100"
15597,"1001111101111111001111100"
15598,"100111110111111100110"
15599,"100111110111111100111110110"
15600,"10011111011111110011111011"
15601,"100111110111111100111111"
15602,"1001111101111111001111101"
15603,"1001111101111111001110"
15604,"100111110111111100111110"
15605,"10011111011111110011111"
15606,"1001111101111111001111"
15607,"100111110111111100111"
15608,"10011111011111110011"
15609,"1001111101111111001"
15631,"1001111101111111000"
15642,"100111110111111100"
15677,"10011111011111110"
15751,"1010000"
15900,"1010111011011101"
15957,"101011101101111"
16000,"101011100111"
16009,"101011100110"
16017,"10011111011000"
16269,"101011101101110"
16344,"10101110110111"
16377,"101000"
16449,"101011100010011"
16452,"10101110111"
16640,"1001111101111111"
16690,"101011100011"
16928,"1001111101111110"
16983,"10101110001001"
17088,"1010111011010"
17193,"1010111011011"
17400,"101001"
17678,"10100"
17697,"100111110111111"
17698,"100111110111110"
17699,"10011111011111"
17700,"10011111011001"
17701,"10011111011110"
17702,"1001111101111"
17703,"1001111101100"
17704,"1001111101110"
17705,"1001111101101"
17706,"100111110110"
17707,"10011111011"
17708,"1001111101"
17764,"1010111000101"
17788,"10101110001000"
17833,"1001111111"
17834,"1001111100"
17835,"10011111101"
17836,"10011111100"
17837,"100111110"
17838,"1001111110"
17839,"100111111"
17840,"10011111"
18035,"101011101101"
18038,"1010111000100"
18218,"1010110"
18253,"10011110"
18420,"10101110110"
18495,"1010111011"
18520,"1001111"
18806,"101011101"
18864,"1001110"
18983,"100111"
19045,"100110"
19062,"10101110011"
19067,"10011"
19114,"101011100010"
19360,"10111"
19396,"10101110001"
19427,"10110"
19554,"10101110000"
19555,"1010111000"
19556,"1010111001001"
19557,"101011100101"
19558,"101011100100"
19559,"10101110010"
19560,"1010111001"
19561,"101011100"
19562,"10101110"
19563,"1010111"
19564,"101011"
19624,"1000"
19925,"10010"
20324,"1001"
20438,"100"
21918,"101010"
22082,"10101"
22083,"1011"
22191,"1010"
24110,"101"
24633,"10"
24981,"110"
24983,"111"
25254,"11"
25669,"1"
42203,"100111110111"
